TIMESTAMP,ACCEL_DATA_X, ACCEL_DATA_Y, ACCEL_DATA_Z, GYRO_DATA_X, GYRO_DATA_Y, GYRO_DATA_Z, MAG_DATA_X, MAG_DATA_Y, MAG_DATA_Z, QUATERNION_DATA_W, QUATERNION_DATA_X, QUATERNION_DATA_Y, QUATERNION_DATA_Z
1507347674351,566,65294,65119,62131,1171,4081,64893,164,230,4795,53577,6561,57640
1507347674383,455,65197,65088,62199,1078,3467,64933,259,230,4486,53836,7303,57915
1507347674403,427,65094,65066,62412,1000,3023,64933,259,230,4272,54009,7937,58165
1507347674421,471,64868,65144,62742,926,2530,64933,259,230,4179,54098,8207,58271
1507347674437,495,64879,65192,63296,882,2380,64949,337,249,4019,54363,8894,58536
1507347674463,453,64896,65235,63540,912,1285,64991,377,281,3499,54611,9585,58831
1507347674504,384,64943,65289,63578,887,660,64991,377,281,3228,54659,9808,58940
1507347674525,400,64927,65345,63933,898,96,64991,377,281,3092,54671,9938,58989
1507347674543,430,64914,65328,64402,990,65092,65008,395,273,2696,54650,9971,58959
1507347674567,492,64937,65227,65030,1078,64524,65008,395,273,2456,54595,9893,58842
1507347674587,522,64910,65149,65525,1121,63641,64980,361,286,2229,54431,9576,58541
1507347674613,567,64888,65051,867,1128,63059,64980,361,286,1947,54277,9205,58246
1507347674634,600,64857,65068,1936,1058,62431,64932,312,262,1834,54105,8701,57874
1507347674657,739,64722,64954,3003,721,62147,64932,312,262,1939,53940,7585,57129
1507347674680,706,64798,64892,4793,579,62078,64896,233,172,2227,53816,6641,56601
1507347674701,679,64946,64799,6257,65189,62135,64896,233,172,2929,53676,5598,56163
1507347674726,722,65102,65003,6192,64556,62326,64896,233,131,3429,53598,4565,55875
1507347674747,860,65173,65116,5377,64078,62871,64837,139,131,3863,53478,3207,55717
1507347674771,966,65163,65294,3896,63798,63159,64837,139,131,4196,53392,2113,55756
1507347674808,1060,65068,65535,2579,63869,63819,64818,73,118,4603,53205,1324,55895
1507347674830,1070,64966,76,1824,63960,64006,64818,73,118,4695,53158,1122,55948
1507347674843,1069,64959,93,1509,64166,64353,64847,22,200,4725,53073,796,56055
1507347674862,1070,64929,97,1088,64386,64765,64847,22,200,4781,53004,565,56157
1507347674882,1032,64942,96,781,64660,65086,64858,65511,251,4823,52943,434,56242
1507347674904,962,64924,34,65527,64936,65326,64858,65511,251,4798,52884,397,56331
1507347674938,880,64935,65509,64987,65355,148,64876,65500,288,4716,52818,553,56364
1507347674963,850,64948,65437,64670,255,525,64876,65500,288,4608,52794,740,56355
1507347674984,777,64999,65392,64247,500,642,64893,65493,270,4486,52787,983,56327
