time at capture,time at tracking,x,y,diameter,area
2017-10-06 20:48:52.706682,2017-10-06 20:48:52.818268,206,138,39.63622283935547,428.0
2017-10-06 20:48:52.899025,2017-10-06 20:48:53.016629,231,182,50.164276123046875,472.5
2017-10-06 20:48:53.075769,2017-10-06 20:48:53.188486,262,244,21.208999633789062,138.0
2017-10-06 20:48:53.239050,2017-10-06 20:48:53.352757,262,244,19.542875289916992,88.0
2017-10-06 20:48:53.424653,2017-10-06 20:48:53.545844,262,244,11.034256935119629,56.0
2017-10-06 20:48:53.613627,2017-10-06 20:48:53.738395,262,244,18.338626861572266,118.5
2017-10-06 20:48:53.807066,2017-10-06 20:48:53.923366,262,244,13.190436363220215,79.5
2017-10-06 20:48:53.990046,2017-10-06 20:48:54.104817,271,248,39.221229553222656,257.5
2017-10-06 20:48:54.173816,2017-10-06 20:48:54.289084,285,261,90.73665618896484,1462.5
2017-10-06 20:48:54.356767,2017-10-06 20:48:54.472238,242,162,86.1390380859375,2960.0
2017-10-06 20:48:54.532778,2017-10-06 20:48:54.642374,214,126,71.12293243408203,2346.0
2017-10-06 20:48:54.695284,2017-10-06 20:48:54.806555,172,84,77.0574951171875,3013.5
2017-10-06 20:48:54.874810,2017-10-06 20:48:54.990176,167,85,86.85569763183594,3174.5
2017-10-06 20:48:55.051692,2017-10-06 20:48:55.165747,179,112,23.957189559936523,197.5
2017-10-06 20:48:55.169826,2017-10-06 20:48:55.263493,238,202,36.07963180541992,316.0
2017-10-06 20:48:55.356441,2017-10-06 20:48:55.488011,238,202,18.8170166015625,131.0
2017-10-06 20:48:55.573701,2017-10-06 20:48:55.682070,238,202,15.312050819396973,87.0
2017-10-06 20:48:55.737434,2017-10-06 20:48:55.850839,238,202,11.573184967041016,60.0
2017-10-06 20:48:55.926496,2017-10-06 20:48:56.034925,238,202,12.700387954711914,66.5
2017-10-06 20:48:56.114561,2017-10-06 20:48:56.225641,238,202,18.568588256835938,94.5
2017-10-06 20:48:56.302748,2017-10-06 20:48:56.418501,255,239,78.07644653320312,1296.0
2017-10-06 20:48:56.474206,2017-10-06 20:48:56.583857,265,207,100.7348403930664,3181.0
2017-10-06 20:48:56.636427,2017-10-06 20:48:56.748647,243,165,100.08505249023438,3654.5
2017-10-06 20:48:56.807164,2017-10-06 20:48:56.919471,217,119,71.203857421875,1706.5
