TIMESTAMP,ACCEL_DATA_X, ACCEL_DATA_Y, ACCEL_DATA_Z, GYRO_DATA_X, GYRO_DATA_Y, GYRO_DATA_Z, MAG_DATA_X, MAG_DATA_Y, MAG_DATA_Z, QUATERNION_DATA_W, QUATERNION_DATA_X, QUATERNION_DATA_Y, QUATERNION_DATA_Z
1507348113560,1044,65447,65458,65306,65486,65515,64888,65240,140,2399,53910,64020,54346
1507348113580,1032,65451,65415,56,65471,65500,64888,65240,140,2410,53907,64000,54354
1507348113595,1031,65459,65452,195,65526,65513,64888,65240,140,2418,53902,63981,54364
1507348113611,1007,65499,65461,178,65483,65520,64900,65264,160,2458,53903,63934,54378
1507348113631,1002,65490,65457,65534,65504,65509,64900,65264,160,2452,53900,63930,54382
1507348113652,1008,65474,65469,65491,65500,65472,64912,65253,164,2460,53889,63893,54397
1507348113674,992,65477,65451,3,65492,65480,64912,65253,164,2439,53873,63878,54413
1507348113696,987,65481,65457,32,65478,65457,64912,65253,160,2445,53866,63845,54427
1507348113718,981,65442,65474,139,65466,65419,64900,65258,160,2450,53864,63811,54435
1507348113741,967,65467,65455,194,65475,65459,64900,65258,160,2460,53863,63773,54448
1507348113763,969,65475,65467,109,4,65493,64912,65247,134,2438,53850,63782,54452
1507348113786,955,65448,65455,65323,4,65513,64912,65247,134,2413,53842,63803,54452
1507348113814,940,65400,65461,65453,5,65525,64906,65264,153,2409,53843,63798,54451
1507348113834,940,65400,65440,73,65530,65517,64906,65264,153,2418,53843,63791,54454
1507348113848,956,65416,65446,120,65499,65520,64906,65264,153,2424,53834,63776,54470
1507348113863,969,65442,65463,140,65486,19,64906,65258,153,2449,53823,63776,54485
1507348113884,978,65473,65457,47,65460,67,64906,65258,153,2450,53817,63785,54489
1507348113903,981,65459,65456,65301,65529,99,64912,65247,140,2422,53801,63861,54485
1507348113927,970,65409,65447,65227,16,95,64912,65247,140,2386,53794,63903,54482
1507348113949,959,65397,65444,65490,65502,106,64912,65247,153,2399,53787,63915,54490
1507348113971,963,65437,65464,138,65456,110,64912,65247,153,2427,53778,63911,54514
1507348113994,974,65471,65470,82,65469,129,64912,65247,153,2445,53764,63931,54523
1507348114015,976,65452,65462,65358,65513,138,64895,65258,153,2440,53754,63971,54526
1507348114038,978,65442,65449,65352,65521,164,64895,65258,153,2438,53743,64012,54532
1507348114058,989,65444,65449,65407,1,176,64919,65253,172,2454,53735,64034,54541
1507348114079,989,65460,65440,65435,9,170,64919,65253,172,2457,53725,64066,54548
1507348114102,981,65476,65445,65380,13,177,64888,65264,160,2454,53716,64107,54551
1507348114123,990,65483,65442,65206,16,253,64888,65264,160,2431,53696,64240,54547
1507348114146,1006,65486,65424,64757,39,355,64888,65264,140,2329,53666,64378,54546
1507348114169,1010,65490,65398,64452,121,418,64906,65264,140,2232,53651,64569,54524
1507348114185,1005,65446,65392,64280,187,397,64906,65264,140,2172,53645,64674,54509
1507348114200,979,65405,65361,64329,128,370,64906,65264,121,2053,53630,64877,54489
1507348114219,995,65385,65368,64341,146,381,64900,65269,121,1947,53619,65068,54472
1507348114239,978,65358,65353,64353,105,351,64900,65269,121,1843,53605,65246,54464
1507348114262,997,65391,65368,64603,29,322,64876,65276,108,1770,53590,65456,54470
1507348114285,1009,65442,65364,64556,65517,383,64876,65276,108,1702,53559,93,54480
1507348114306,1021,65439,65406,64311,65511,413,64858,65287,110,1543,53538,292,54490
1507348114330,1005,65349,65370,64151,56,415,64858,65287,110,1425,53524,501,54497
1507348114352,978,65381,65392,64447,65516,536,64871,65292,64,1322,53511,716,54517
1507348114374,966,65438,65384,64050,45,668,64871,65292,64,1150,53500,1104,54535
1507348114398,959,65434,65373,63510,115,638,64871,65292,72,950,53499,1424,54553
1507348114419,968,65332,65368,63431,118,431,64864,65292,72,743,53498,1707,54579
1507348114442,952,65329,65377,63947,65529,391,64864,65292,72,600,53493,2078,54633
1507348114464,928,65369,65402,64077,65518,632,64840,65316,22,369,53502,2358,54677
1507348114489,906,65365,65351,63683,14,530,64840,65316,22,199,53508,2619,54726
1507348114510,901,65335,65372,64171,65402,311,64842,65335,28,84,53494,2791,54817
1507348114533,886,65288,65337,64718,65204,118,64842,65335,28,32,53459,2941,54872
1507348114556,896,65305,65416,64128,65452,248,64842,65328,16,65453,53449,3033,54932
1507348114573,872,65230,65354,64021,65412,277,64842,65328,16,65300,53448,3241,54964
1507348114589,880,65193,65390,64281,65423,377,64842,65328,16,65242,53450,3415,55015
1507348114604,902,65236,65404,64588,65448,500,64836,65357,28,65193,53459,3483,55046
1507348114624,891,65251,65387,64636,70,571,64836,65357,28,65133,53489,3749,55074
1507348114644,882,65228,65364,64916,45,415,64847,65370,9,65041,53545,3936,55106
1507348114683,885,65205,65374,65035,49,379,64847,65370,9,65021,53575,4056,55112
1507348114698,888,65201,65373,64766,49,404,64847,65370,9,64993,53589,4123,55125
1507348114713,886,65167,65354,64739,45,387,64828,65389,65520,64933,53615,4256,55151
1507348114730,880,65133,65353,65038,65526,262,64828,65389,65520,64916,53622,4329,55171
1507348114744,866,65105,65368,65241,65486,207,64828,65389,65520,64911,53626,4351,55179
1507348114759,864,65103,65368,65368,65465,220,64816,65400,65520,64914,53628,4411,55197
1507348114774,882,65099,65360,65216,65525,393,64816,65400,65520,64905,53643,4460,55207
